title,company,location,description,requirements,duration,type,stipend,apply_link
Marketing Intern,Mays-Taylor,"Karachi, Pakistan",Assist product managers in research and documentation.,"{""Communication Skills"", ""Excel"", ""Adobe Photoshop""}",6 months,Remote,"15,000 PKR",https://example.com/remote/apply-1
Graphic Design Intern,White LLC,"Karachi, Pakistan",Create compelling marketing content and strategies.,"{""Adobe Photoshop"", ""Team Collaboration"", ""SEO""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-2
Product Management Intern,"Valencia, Scott and Torres","Islamabad, Pakistan",Create compelling marketing content and strategies.,"{""Excel"", ""Content Writing"", ""Communication Skills""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-3
Data Analyst Intern,"Pace, Hill and Hunter","Islamabad, Pakistan",Design visual assets for various marketing campaigns.,"{""Creativity"", ""Python"", ""Adobe Photoshop""}",6 months,Remote,"15,000 PKR",https://example.com/remote/apply-4
Product Management Intern,Atkins-Strickland,"Islamabad, Pakistan",Analyze market trends and data to support business decisions.,"{""Creativity"", ""Team Collaboration"", ""SEO""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-5
Data Analyst Intern,Jefferson-Hernandez,"Islamabad, Pakistan",Analyze market trends and data to support business decisions.,"{""Communication Skills"", ""Problem-solving"", ""Content Writing""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-6
Marketing Intern,"Walker, Saunders and Ray","Lahore, Pakistan",Work on cutting-edge software projects with a dynamic team.,"{""SEO"", ""Python"", ""Team Collaboration""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-7
Data Analyst Intern,Oneal and Sons,"Islamabad, Pakistan",Work on cutting-edge software projects with a dynamic team.,"{""Content Writing"", ""Java"", ""Creativity""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-8
Software Engineer Intern,Waller LLC,"Islamabad, Pakistan",Design visual assets for various marketing campaigns.,"{""Python"", ""Adobe Photoshop"", ""Content Writing""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-9
Data Analyst Intern,"Evans, Bright and Carey","Islamabad, Pakistan",Analyze market trends and data to support business decisions.,"{""Content Writing"", ""SEO"", ""Java""}",6 months,Remote,"15,000 PKR",https://example.com/remote/apply-10
Data Analyst Intern,Davis and Sons,Remote,Assist product managers in research and documentation.,"{""Python"", ""Problem-solving"", ""Content Writing""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-11
Product Management Intern,Burnett-Harrison,"Karachi, Pakistan",Design visual assets for various marketing campaigns.,"{""Problem-solving"", ""Python"", ""Java""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-12
Graphic Design Intern,Johnson PLC,"Karachi, Pakistan",Design visual assets for various marketing campaigns.,"{""Communication Skills"", ""Excel"", ""Adobe Photoshop""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-13
Data Analyst Intern,"Johnson, Lane and Wise",Remote,Assist product managers in research and documentation.,"{""Problem-solving"", ""SEO"", ""Java""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-14
Software Engineer Intern,"Smith, Cox and Rivera","Karachi, Pakistan",Analyze market trends and data to support business decisions.,"{""Adobe Photoshop"", ""Content Writing"", ""Problem-solving""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-15
Data Analyst Intern,Cox Group,"Karachi, Pakistan",Design visual assets for various marketing campaigns.,"{""Problem-solving"", ""Creativity"", ""Communication Skills""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-16
Graphic Design Intern,Griffin-Boyd,"Karachi, Pakistan",Assist product managers in research and documentation.,"{""Communication Skills"", ""Excel"", ""Adobe Photoshop""}",2 months,Remote,"15,000 PKR",https://example.com/remote/apply-17
Product Management Intern,"Brown, Wilson and Riley","Islamabad, Pakistan",Analyze market trends and data to support business decisions.,"{""Java"", ""Python"", ""Team Collaboration""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-18
Data Analyst Intern,"Henson, Arias and Baker","Karachi, Pakistan",Work on cutting-edge software projects with a dynamic team.,"{""SEO"", ""Adobe Photoshop"", ""Problem-solving""}",3 months,Remote,"15,000 PKR",https://example.com/remote/apply-19
Product Management Intern,Hughes-Schroeder,"Lahore, Pakistan",Analyze market trends and data to support business decisions.,"{""Java"", ""Content Writing"", ""Problem-solving""}",6 months,Remote,"15,000 PKR",https://example.com/remote/apply-20
